,name of company
0,Names of the Companies
1,Aakash Institute
2,Accenture Services Pvt.Limited
3,Accionlabs
4,Accolite
5,AGR Knowledge Services Pvt.Limited
6,Ahdityaa Enterprises
7,Aker Solutions
8,All Cargo Logistics
9,Amdocs Development Centre India Pvt.Ltd.
10,Ariston Capital Services Pvt.Limited
11,Armaco Chemical Process Systems Pvt. Limited
12,Atidan Technologies Pvt.Limited
13,Atos India Pvt.Limited
14,Avalon Global Research
15,Bank of America
16,Barclays
17,Bharti Airtel Limited
18,Blue Star Limited
19,Bookmyshow
20,BOSCH Ltd
21,Build Track
22,Capegemini India
23,Cartesian Consulting
24,Cex Webuy Entertainment Pvt.Limited
25,Cimpress India Pvt. Ltd.
26,Coffee Day Beverages
27,Colgate
28,Computer Sciences Corporation Pvt. Ltd.
29,Cybermarine Knowledge Systems Pvt. Ltd.
30,Daikin Air Conditioning
31,Diebold Systems Pvt. Ltd.
32,Directi
33,Dolat Capital
34,Dolphin RFID Pvt. Ltd.
35,Dumbelled
36,Dynalog Enterprises
37,Eduisfun
38,Eleation
39,Emerson Network Power
40,Endurance International Group
41,Ernst & Young
42,Express Global Logistics Pvt. Ltd.
43,Express Roadways Pvt.Limited
44,First Quadrant Solutions
45,Force Motors
46,Fractal Analytics
47,Friction Innovative Education
48,Future Generali India Life Insurance Company Limited
49,GEP
50,Germin8
51,Godrej & Boyce Mfg.Co.Limited
52,Greenity Software Solutions Pvt.Limited
53,Grindwell Norton Limited
54,Gupshup Technology India Pvt. Limited
55,GVK Mumbai International Airport Pvt. Limited
56,GVR India Pvt.Ltd.
57,Halftick Infoservices Pvt. Limited
58,Hansa Cequity
59,Hourglass Research
60,ICICI Pru Life
61,Icreate
62,IFB Industries Limited
63,Imaginarium India Pvt.Ltd.
64,Indus Momentus
65,Indus Valley Partners
66,Indusgeeks
67,Infosys Ltd.
68,Inscripts India Pvt. Ltd.
69,Interactive Brokers India Pvt. Ltd.
70,Jacobs Engineering India Pvt. Ltd.
71,Jaro Education
72,JP Morgan Chase
73,JSW Steel Coated Products Ltd.
74,Kalyani Forge Limited
75,Kansai Nerolac  Paints Limited
76,Kongo Educational Services Pvt Ltd
77,Konnectinsights
78,L & T Infotech Limited
79,L & T Limited
80,L & T Technology services Limited
81,Mahindra & Mahindra Limited
82,Majesco
83,Mastek Limited
84,Medianet
85,Megachip Instrumentation Pvt.Limited
86,Microsoft
87,Mitr Learning
88,Morgan Stanley Capital International
89,Mu Sigma
90,Neebal Technologies Pvt. Ltd.
91,Neosoft Technologies
92,Nerolac Paints Limited
93,Netmagic  Solutions  Pvt.Limited
94,Newgen Software Technologies Ltd.
95,Nikhil Comfort
96,NSEIT
97,Nucsoft Limited
98,Oracle India Pvt.Limited
99,Performics.Convonix
100,Pharmeasy
101,Pratap Plastics
102,Purplle
103,Rave Technologies Pvt. Limited
104,Reliance Industries Limited
105,Reliance Jio Infocomm Limited
106,Research wire
107,Reshamsingh & Co. Pvt. Ltd.
108,Riddhim Siddhim Steel (I) Pvt. Ltd.
109,Rooptelsonic Ultrasonix Limited
110,Saint Gobain India Ltd.
111,Sanmar Engineering Technologies Ltd.
112,Seclore Technology Pvt.Limited
113,Stellar Value Chain
114,Swan Environmental Pvt. Limited
115,Tata Communications Ltd.
116,Tata Consultancy  Services Ltd.
117,Technip India Limited
118,Tecnimont Pvt.Limited
119,Teradata Corporation
120,Think & Learn - Byju’s
121,Think Analytics
122,Thyssenkrupp Industrial Solutions India Pvt.Ltd.
123,TOYO Engineering
124,Tranzact Pvt Ltd
125,Uhde India Pvt. Ltd.
126,Vision Mechatronics
127,Vodafone Shared services India
128,Voltas Limited
129,vPhrase
130,Welspun Syntex Limited
131,WisdmLabs
132,Wissen Technology
133,Yodlee Infotech Pvt. Limited
134,ZS Associates
135,Zycus Infotech Pvt. Ltd.
136,
