,name of company
0,Cavinkare
1,   NSDL 
2, Schneider
3,Infosys 
4,Fintellix 
5,  Netmagic Solutions
6,  Ugam Solutions 
7,  Cybermarine 
8,  CMSS 
9, TCS
10, Mahanagar Gas Ltd. 
11,  NSDL 
12,  Fractal Analytics 
13, Just Dial 
14, Reliance Jio 
15, Technimont ICB 
16, MU Sigma 
17, NUCSOFT 
18, Vistex Technologies 
19, Sanmar Technologies 
20, Finaux Tech. 
21, Zycus 
22, Mitsubishi Elevators 
23, Logixal 
24, Altiussoft Solutions 
25,    Qube Cinemak
26,  Tech NRB Bearings
27,  e-Emphasis 
28,  Techint Hypertherm 
29,  TCRC Group
30,  Alpha Plus Technologies 
31,  National Stock Exchange IT 
32, Persistent Tech 
33,  Paramatrix Solutions 
34,  IBM Technologies 
35,  Sanmar Technologies 
36,  Indian Army 
37,  Endurance International 
38,  Quantiphi ANalytics 
39,  Bitwise 
40,  L & T Ltd. 
41,  Merilent 
42,  The Oberoi Group 
43,  Vistaar Technologies 
44,  Zeus Learning 
45,  ELGI 
46,  Quinnox Tech. 
47,  Mirraw Online Services Pvt. Ltd. 
48,  Amazon 
49,  QAD Info. Tech. 
50,   Bristle Cone I Ltd.
51,  VDart Software
52,  Syntel Ltd. 
53,  L &T Info Tech 
54,  Indian Navy 
55,  netcore Solutions 
56,  Capgemini 
57,  Indiaideas 
58, Majesco Software Solutions 
59,  InteractCRM 
60,  CexWebuy Entertainment 
61,  Think & Learn 
62,  Prodio Design Works 
63,  Seclore Technologies 
64, J-Robotics
65, Deltecs Info. Tech
66, Burns & McDonnells
67, TCRC Group
68, Rave Tech.
69, eScan Antivirus
70, CeX WeBuy Entertainment
71, Antimu
72, Media .net
73, Milestone Software Solutions
74,  SoGoSurvey 
