,name of company
0,
1,Accenture
2,Aegis
3,Amdocs
4,Ariston Capital
5,ARK Technosolutions
6,Atos Origin
7,Bewakoof.com
8,Blobcity
9,Business Access(India)Pvt Ltd.
10,Capgemini
11,Carwale.com
12,CMSS
13,Credence
14,CRMNEXT
15,CyberTech Systems & Software Ltd.
16,Datamatics
17,Direct-I
18,Drishtant Services
19,eClinic
20,Ekraft
21,ElECTROLAB (India)Pvt. Ltd.
22,Exa India
23,flexiventure Pvt.Ltd.
24,Focus Group
25,GE Energy
26,Godrej Infotech
27,Hexaware Technologies
28,HP
29,HSBC GTL
30,IBM
31,ICICI Securities
32,IGATE
33,IMRB
34,In solution Global
35,InBetween IT Service
36,Indian Airforce
37,Indian Army
38,Infiniti Software Solutions
39,Infosys
40,Intarvo
41,"Konica Minlolta, Japan"
42,KPIT Cummins
43,L & T Infotech
44,Mahindra & Mahindra
45,MAQ Softwares
46,Mastek
47,
48,Media.net( Direct-I)
49,Milestone Softwares
50,MRVC
51,Mu Sigma
52,Neebal Tech
53,NeoSOFT
54,NESA
55,NewGen
56,NSE Infotech
57,NSE IT
58,"NTT Communication Corporation, Japan"
59,Oracle
60,Oracle Financial Services
61,OSP Labs
62,P2S Info Systems
63,Persistent Systems
64,Polaris
65,Prama Hikvision India
66,Pykih
67,Quinnox
68,Row-2
69,RTUL
70,Seclore
71,Siddhi Diamonds
72,Syselec	
73,Systenics Solutions
74,Tera Data
75,Tata Communications
76,Tech Mahindra Business Services
77,Tech-Mahindra
78,TEOCO
79,Tera Data
80,Test Funda.com (Zeus Learning System)
81,TIBCO Software India Pvt.Ltd.
82,Tunewell
83,Unikaihatsu
84,Vistex
85,Webexpress
86,Webonise Lab
87,Wegilant
88,Wisdm Labs
89,"Work Applications, Japan"
90,Xtreme Media
91,Yodlee
92,Zarca Group
93,Zycus
