,name of company
0,3D PLM Software (Dassault)
1,Mindstix Software Labs
2,Accops Systems
3,Mu Sigma
4,Adobe
5,Must Garments
6,Amazon
7,NTT Data
8,Amdocs
9,Optymyze
10,Amura Marketing Technologies
11,Oracle Fin Serv Software 
12,Atos India
13,Oracle GBU
14,Barclays
15,Pernod Ricard India
16,Bitwise
17,Persistent Systems
18,Blue Bricks
19,Praj Industries
20,Bristlecone India
21,Precision Automation (PARI)
22,Capgemini
23,Principal Global Services
24,Commvault
25,Reliance Jio
26,Continental Automotive
27,Renata Precision Components
28,Deloitte
29,Robert Bosch Engineering
30,Directi
31,Saba Software
32,Edelweiss Financial Services
33,Saint Gobain
34,eLitmus
35,Samsung R&D
36,Epic Research Pvt Ltd
37,Sanmar Group
38,FIGmd
39,Sapient
40,Focus Academy of Career Enhancement
41,SAS Research Pvt Ltd
42,Godrej
43,Schlumberger 
44,Good Methods Global Inc
45,Screen Magic
46,Grindwell Norton
47,Sears Holdings
48,Hashmap Inc 
49,Seclore
50,HeyMojo Inc
51,SKF India
52,HSBC Software
53,Symantec
54,Hyundai Constructions
55,Tata Consultancy Services
56,IBM
57,Tata Technologies
58,INA Bearings
59,Tech Mahindra
60,Inbound Mantra
61,Technip FMC
62,Indix Internet India Pvt Ltd
63,Thermax
64,Intelegencia
65,Thoughtworks
66,Inteva Products India
67,Varroc Group
68,ION Trading
69,Veritas
70,JohnDeere
71,Virtusa Polaris
72,Josh Software
73,Vodafone Shared Services
74,Kay Bouvet
75,Volkswagen
76,Konecranes
77,Wavelet Technologies (IFM Engg)
78,KPCL
79,Webonise
80,KPIT Technologies
81,Whitesnow
82,KPMG
83,Wipro Technologies
84,KSB Pumps
85,Zimetrics
86,L&T Infotech
87,ZS Associates
88,L&T Tech Services
89,Zycus Infotech
90,Live Health
91,Mahindra & Mahindra
92,Lotus Wireless Solutions 
93,Maximojo
94,JSW 
95,Reflexis
96,Byju’s Think & Learn
97,Unitread
98,Saka Engineerng 
99,Microsoft
100,Amadeus Labs 
101,DeltaX
102,Himachal Futuristic Communication Ltd 
103,Quantiphi
104,Techracers
105,TIAA
106,Value Labs 
107,Wabco
108,FL Smidth
109,Winjit Technologies
110,Forbes Marshall
111,Jaro Education
112,Nineleaps
113,MiniOrange
114,Praj Industries
115,Samsung R&D
116,Renishaw
