,name of company
0,Atos Origin
1,Accord Shine
2,Accurate Guages
3,Ags-Technologies
4,Air India
5,Airfort Networks
6,Alaaka Technology
7,Allscripts
8,Analyzre Cae Solutions
9,Android Company
10,Apco Group Mumbai
11,Aptara New Media Pvt Ltd.
12,Asahi India Glass Pvt.Ltd.
13,Aurangabad Bajaj
14,Axis Bank
15,Asahi India Glass Pvt Ltd
16,Bagla Group
17,Barclays
18,Braves Technology
19,Bde-Prathmesh Ceramics Pvt Ltd
20,Bny Mellon
21,Business Canvas
22,Cognizant
23,Chakan Mills
24,Collabera It Services
25,Convergys
26,Corporate Infocom Pvt Ltd
27,Cybage Software
28,Cibridge Technologies
29,Crest Premedia Soulutions Pvt Ltd
30,Dimensional Control
31,Dynomer
32,Electronic Switches
33,E-Successor
34,Ford Motor Company
35,Flexronics
36,Faits Automation Bhosari Midc
37,Fashionite
38,Foama Co.
39,Fulcrum
40,"Fundtech Pvt.Limited,Pune"
41,Galagar
42,Genei Auto Mobiles
43,General Motors
44,Gates
45,Globematics
46,Groupo Antoline
47,Greek Solutions
48,Harita Techservices
49,Hcl
50,Hp
51,Hexaware
52,Horizon Telecom
53,Hsbc
54,Husco
55,Ibm
56,Idhasoft
57,Impact Solutions
58,Import Export Cs
59,Inautix
60,Indian Card & Clothing Ltd.
61,Indorence Ranjangaon
62,Infosys
63,Involute Systems
64,Iplace Usa
65,Irca India Pvt Ltd.
66,Itech
67,Indian Army
68,Jabil Group
69,Kalashree
70,Kantar Tech
71,Katraj Ghat Mills
72,Kirloskar Brother
73,Knowledge Transition Consultancy Pvt Ltd
74,Kpt
75,Kran Rader Ltd.
76,Krawler Information Systems
77,Key Source Media
78,Mahindra & Mahindra
79,Manufacturing & Automation
80,Markets & Markets
81,Mehetrea Cs
82,Merchant Navy
83,Must Garments Pvt Ltd
84,Meritrek
85,Midc Electronics Ltd
86,Moditech
87,Mphasis
88,Mumbai Kirloskar
89,Neosoft Technology
90,Ntt Data
91,Oriental Rubber
92,Persistent Systems
93,Polaris
94,Platemaster Pvt.Ltd.
95,Poona Force Bhosari Mid Scale Tools
96,Proactive It Services
97,Quick Heal Technologies
98,Raychem Rpg
99,Reasoning Global Epublications Pvt.Limited
100,Rabtor Technology
101,Sandvik Asia
102,Suzlon
103,Smiths Detection
104,Spectraforce Technologies
105,Sanmar Group
106,Sar
107,Searce
108,Sqr Infotech
109,Suttati Industries
110,Tieto Software
111,Tech Mahindra
112,Wipro Technologies
113,Webtech Developers
114,Whirlpool
115,Zensar
116,Zs Associates
