,name of company
0,Tech Mahindra
1,Johnson Controls Ltd.
2,Tata Communication Ltd
3,Persistent
4,Oracle
5,Saint Gobian Ltd.
6,Nvidia
7,Newgen Software
8,Godrej Infotech Pvt.Ltd
9,iGate-PCS
10,Tetra Pak
11,Beher India
12,L&T infotech
13,Synechron
14,Electomech
15,L&T Engineering Services
16,Thirdware Solutions
17,Bosch Ltd.
18,Cadbury
19,Indian Army
20,Honeywell Automation Ltd.
21,HSBC
22,Subex
23,Denso Harayana Pvt. Ltd.
24,Mphasis Ltd.
25,Opus Software
26,Voltas Ltd.
27,SIEMENS
28,KPIT Infosystem
29,Yebhi.com
30,Harbinger
31,Cybage
32,Indiabulls Realtech ltd.
33,Syntel
34,ADP
35,AM Trident
36,Tavisca Solutions
37,Captronic Systems Pvt. Ltd
38,Zycus
39,ICICI Securities
40,Maq Software
41,Quinnoxe Ltd.
42,Prudential Process Mangement
43,Sunguard
44,Varroc
45,Sanmar Group
46,Forbes Marsahal
47,B & RAutomation
48,PARI Robotics Ltd
49,Fiserv Solutions
50,ZF India Pvt. Ltd.
51,Laxmi Machine Works Ltd.
52,Quick Heal
53,Wika Instruments
54,Yodelle Software
55,Enpro
56,iNautix
57,Visteon
58,Forbes Marshall
59,Tvs Logistics
60,Bridgestone Ltd.
61,Mithi Software
