,name of company
0,Alpha Health Venture
1,Dimetrix Technology
2,Amdocs
3,Open Silicon
4,Anglo Eastern
5,Asahi Glass
6,ATG
7,Excelize
8,ATOS
9,Pernod Ricard
10,Barclays
11,Finolex Pipes
12,Capgemini
13,3DPLM (Dassault Systèmes)
14,CLSA
15,Emcure India
16,Cognizant
17,Force Motors
18,Cybage
19,Premium Transmission
20,Ennovate IT
21,Hettich
22,Eternus
23,Gabriel India Ltd
24,Everest Industries Ltd.
25,GS Labs
26,Fasttrack Software
27,Xoriant
28,Forbes Marshall
29,QED Baton
30,Globus soft
31,Pubmatic
32,Harbinger Group
33,NeilSoft Limited
34,Hitachi
35,Obara Corporation
36,HP
37,Infosys
38,Hurix
39,Tibco Software
40,IBM
41,Sanmar Group
42,Impact services
43,Amura Marketing Technologies
44,Infinite Computing
45,Finolex Industries
46,InnoEye Technologies
47,Forgeahead Solutions Pvt. Ltd
48,Jaya Hind Industries
49,Larsen & Toubro Infotech
50,Kinetic Spam Pumps
51,JK Tyre
52,KPIT
53,Bridgestone India Pvt. Ltd.
54,KPMG
55,Bitwise Solutions Pvt Ltd
56,Meditab
57,Benchmark IT solutions
58,Mphasis
59,Vascon Engineers Pvt. Ltd
60,NTT Data
61,Gradmener Technology Pvt. Ltd.
62,Odessa Technologies
63,Expat Properties India Ltd
64,Persistent
65,Greeksoft Technologies Pvt Ltd
66,Polycab
67,ZF India
68,QuikHeal
69,e-Zest
70,"Quinnox, Inc."
71,Schlumberger
72,RSystems
73,Talent Beat
74,Samsung
75,Tata Technologies
76,Sandvik
77,TCS
78,Savy Soft
79,Tech Mahindra
80,Sigma Electric
81,Trivini turbines
82,Steria
83,VANDERLANDE
84,Suzlon
85,Vodafone
86,Syntel
87,Webtech Developers Pvt. Ltd
88,Syntrosys
89,Wipro
90,Z S Solutions
91,Wishtree. Technology
92,Zuti Engineering
93,WM
94,Zycus Infotech
95,Yardi Software
96,Jaro Education
97,Webonise Lab
98,Just Pay
99,Soodh Tower & Constructions
100,Go Speedy Go
101,Thermax
102,SKF India Ltd.
103,Fiserv
104,ATG
105,Everest Industries Ltd.
106,Forbes Marshall
107,Harbinger Group
108,Jaya Hind Industries
109,Kinetic Spam Pumps
110,Polycab
111,Samsung
112,Sandvik
113,Sigma Electric
114,SKF India Ltd.
115,3DPLM (Dassault Systèmes)
116,Force Motors
117,Tibco Software
118,Sanmar Group
119,Vascon Engineers Pvt. Ltd
120,ZF India
121,Bridgestone India Pvt. Ltd.
122,JK Tyre
123,Finolex Industries
124,NeilSoft Limited
125,Obara Corporation
126,Gabriel India Ltd
127,Hettich
128,Premium Transmission
129,Force Motors
130,Emcure India
131,Finolex Pipes
132,Pernod Ricard
133,Excelize
134,Vascon Engineers Pvt. Ltd
135,ZF India
136,Trivini turbines
137,VANDERLANDE
138,Suzlon
139,Go Speedy Go
140,Soodh Tower & Constructions
141,Thermax
