,name of company
0,TATA CONSULTANCY SERVICES
1,IBM GLOBAL SERVICES
2,INFOSYS TECHNOLOGIES LTD.
3,COGNIZANT TECH SOLUTIONS
4,ACCENTURE SERVICES PVT. LTD.
5,WIPRO TECHNOLOGIES LTD
6,TECH MAHINDRA
7,HONEYWELL AUTOMATION
8,KPIT CUMMINS
9,ATOS ORIGIN
10,SYNTEL
11,CAP GEMINI
12,NEWGEN SOFTWARE TECH LTD
13,CYBAGE SOFTWARE PVT. LTD.
14,"BMC SOFTWARE PVT, LTD."
15,KRAWLER NETWORKS TLD.
16,EATON TECHNOLOGIES LTD
17,GODREJ INFOTECH LTD.
18,QUALEX SYSTEMS LTD
19,S1 SERVICES LTD.
20,2 WIRE
21,3D PLM SOFTWARE SOLUTIONS LTD.
22,ACCENTURE SERVICES PVT. LTD.
23,ADANI ENTERPRISES LTD.
24,ADOBE SYSTEMS INDIA PVT. LTD.
25,ADOR WELDING LTD.
26,ADP LTD
27,ADVENT SOFTWARELTD.
28,AFTEK INFOSYS LTD.
29,AKER POWERGAS PVT. LTD.
30,AL NABOODAH CONSTRUCTION GROUP LLC
31,ALCATEL-LUCENT INDIA LTD.
32,ALTAIR INDUSTRIAL TECHNOLOGIES
33,AMARARAJA
34,AMBUJA CEMENT
35,AMDOCS DEVELOPMENT CENTRE
36,ANGLO EASTERN SHIP MGMT LTD.
37,ANSYS FLUENT INDIA LTD.
38,APOLLO TECHNOLOGIES
39,ASIAN PAINTS
40,ATLAS COPCO I LTD.
41,ATOS ORIGIN INDIA PVT LTD.
42,AUTOLINE INDUSTRIES LTD.
43,AVAYA
44,B&R INDUSTRIAL AUTOMATION PVT. LTD.
45,B.L.KASHYAP & COMPANY
46,BAJAJ AUTO LTD.
47,BAKER HUGES
48,BAKER OIL TOOLS
49,BAKER OIL TREATING (I) LTD.
50,BARCLAYS TECHNOLOGY CENTRE INDIA PVT. LTD.
51,BASF
52,BAXTER I PVT LTD.
53,BCS INNOVATIONS
54,BEHR GROUP
55,BENCHMARK GROUP
56,BG EXPOLRATION AND GAS
57,BHARAT FORGE LTD.
58,BITWISE SOLUTIONS PVT. LTD.
59,BLUE STAR LTD.
60,BMC SOFTWARE
61,BOSCH CHASIS
62,BUSINESS DEVELOPMENT BUREAU
63,CADBURY INDIA
64,CAEPRO
65,CAIRN ENERGY
66,CALSOFT PVT. LTD.
67,CAP GEMINI
68,CARRARO INDIA
69,CERATIZIT INDIA PVT. LTD.
70,CERNER HEALTH CARE SOLUTIONS PVT LTD.
71,CISCO SYSTEMS (I) PVT. LTD.
72,COGNIZANT TECHNOLOGY SOLUTIONS LTD.
73,COMAU INDIA PVT. LTD.
74,COVELIX LTD.
75,CUMMINS LTD.
76,CYBAGE SOFTWARE PVT. LTD.
77,CYBERMEDIA SOFTWARE
78,DEEPAK FERTILIZERS
79,DELL INTERNATIONAL LTD.
80,DELPHI
81,DEMAG CRANES & COMPONENTS (I) PVT LTD.
82,DEPA INDIA PVT. LTD.
83,DIAMLER CRYSLER (I) PVT. LTD.
84,DISHA TECHNOLOGIES LTD.
85,DUN & BRADSTREET INFORMATION SERVICES INDIA PVT LTD.
86,DYNATECH FURNACES
87,EATON TECHNOLOGIES LTD.
88,EDS ELECTRONIC DATA SYSTEMS (I) PVT.
89,EMERSON DESIGN ENGINEERING CENTRE
90,EMPOWER SERVICES
91,ENSIM INDIA PVT. LTD.
92,ESSAR ENERGY
93,ESSAR STEELS LTD.
94,ETHIX SOFTWARE SOLUTIONS PVT. LTD.
95,FDS INFOTECH (P) LTD.
96,FEDILITY BUSINESS SERVICES (I) PVT LTD.
97,FINOLEX INDUSTRIES LTD
98,FIRST FUTURES SOFTWARE ENGINEERING LTD.
99,FISERVE
100,FLEETGUARD FILTERS PVT. LTD.
101,FORBES MARSHALL
102,FREESCALE
103,FREESCALE SEMICONDUTORS INDIA PVT. LTD.
104,G S LAB
105,GAMELOFT SOFTWARE PVT. LTD.
106,GATI PVT. LTD
107,GE ENERGY PVT. LTD.
108,GEA PROCESS ENGINEERING (I) LTD.
109,GENRAL MOTORS INDIA PVT. LTD.
110,GEOMETRIC SOFTWARE SOLUTIONS
111,GIESECKE & DEVRIENT INDIA PVT. LTD.
112,GODREJ & BOYCE
113,GODREJ INFOTECH LTD.
114,GOOGLE
115,HARBINGER SYSTEMS LTD
116,HEMANT TOOLS PVT. LTD.
117,HENSEL INDIA PVT. LTD.
118,HEXAWARE TECHNOLOGIES LTD
119,HINDUSTAN UNILEVER LTD.
120,HITACHI HOME & LIFE SOLUTIONS INDIA LTD.
121,HONDA R & D (INDIA) PVT. LTD.
122,HONEYWELL AUTOMATION ( I ) LTD.
123,HP LTD.
124,HSBC
125,HSBC LTD.
126,HUCO ELECTRONIC PVT. LTD.
127,IBM GLOBAL SERVICES (I) PVT. LTD .
128,IDEA CELLULAR LTD
129,IFLEX SOLUTIONS
130,INAUTIX LTD.
131,INDIAN ARMY
132,INDIASOFT TECHNOLOGIES LTD.
133,INDIGO ARCHITECTS LTD.
134,INDUS SOFTWARE
135,INFOBEANS SYSTEMS (I) PVT. LTD.
136,INFOSYS TECHNOLOGIES LTD.
137,ISMT LTD.
138,ITC FOODS LTD
139,ITD CEMENTATION INDIA LTD.
140,JATAAYU SOFTWARE
141,JDA SOFTWARE
142,JOHN DEERE LTD.
143,JOHNSON CONTROLS
144,JOSTS ENGINEERING COMPANY LTD.
145,KALE CONSULTANTS LTD.
146,KALYANI CARPENTER SPECIAL STEELS LTD.
147,KIMBERLY-CLARK INDIA
148,KIRLOSKAR GROUP OF COMPANIES
149,KPIT CUMMINS INFOSYSTEMS LTD.
150,KRAWLER NETWORKS
151,KTMS ENGINEERING LTD.
152,KURARAY CO. LTD.
153,L & T INFOTECH LTD.
154,L&T ECC LTD.
155,LARSEN & TOURBRO LTD.
156,LG ELECTRONICS
157,LIGHT BULB TECHNOLOGY LTD.
158,M&M LTD. (AUTO)
159,M&M (FES)
160,MAGUS INFOTECH INDIA (PVT.) LTD.
161,MAHINDRA BRISTLECONE LTD.
162,MAHINDRA COMPOSITES LTD.
163,MARVELL INFOTECH
164,MASTEK LTD.
165,MELTEK INFOSYSTEMS PVT LTD.
166,MICO LTD.
167,MICROSOFT INDIA (R&D) PVT. LTD.
168,MINDTREE
169,MODELCAM TECHNOLOGIES
170,MONDRAGON ASIA INDIA
171,MORGAN STANLEY FINANCIAL SERVICES LTD.
172,MPHASIS (AN EDS COMPANY)
173,Mu SIGMA BUSINESS SOLUTIONS
174,MURUGAPPA GROUP
175,NEILSOFT LTD.
176,NESS TECHNOLOGIES LTD.
177,NEWGEN SOFTWARE TECH LTD.
178,NEXTI TECHNOLOGIES
179,NIHILENT
180,NIKHIL COMFORTS
181,NIKO RESOURCES LTD.
182,NSE. IT LTD.
183,NVIDIA
184,ONIDA ELECTRICALS LTD.
185,OPTRA SYSTEMS
186,OPUS SOFTWARE LTD.
187,ORACLE (IFLEX SOLUTIONS)
188,PANGEA3 LEGAL DATABASE SYS. LTD.
189,PATNI COMPUTER SYSTEMS LTD.
190,PENINSULA LAND LTD.
191,PEROT SYSTEMS
192,PERSISTENT SYSTEMS PVT. LTD.
193,PETRONET LNG LTD.
194,PIAGGIO
195,POLARIS
196,POWERICA LTD.
