,name of company
0,TCS (For students across Maharashtra)
1,IBM (For students across India)
2,Accenture (For students across Maharashtra)
3,Cognizant (For students across Maharashtra)
4,Patni (For students across Pune)
5,TechMahindra (For students across Pune)
6,Infosys (For students across India)
7,HP (For students across Maharashtra)
8,KPIT (For students across Pune)
9,L & T Infotech (For students across    Maharashtra)
10,Cap Gemini (For students across Pune)
11,Amdocs (For students across Maharashtra)
12,Oracle (For students across Pune)
13,Quinnox (For students across Maharashtra)
14,Z.F. Associates ( For students across    Maharashtra)
15,Wipro (For students across Maharashtra)
16,Synechron (For students across Pune)
