,name of company
0,Varroc Polymers
1,Wave Techline
2,QED Baton
3,Reva Electrical
4,SK Metals
5,Pure Study Software
6,Opulent Infotech
7,"RFIC solutions:S.M.Wireless Pvt.Ltd, Pune"
8,Dextware
9,Horizon Telecom
10,Cybernetics Software
11,Sulzon Earth
12,Amazon Web Service
13,Science Digital
14,SpringJaunter
15,Tribro Softech (P) Limited
16,Versatile Premedia Service
17,Ipca Laboratory Ltd
18,Isash It Solution Pvt Ltd
19,Makeb Technologies
20,Codexia Infotech
21,Griphold
22,Tata Motors
23,Polybond
24,Johndeere Technologies
25,Exide Batteries
26,Johnson
27,John Deere
28,Hyundai Heavy Industries
29,Glewoods Systems
30,Revine Technologies
31,CMS IT Services
32,JEPL
33,SAR GROUP
34,Silver Globe Solutions
35,TechnoGrowth Softwares
36,Power Torc Bolting
37,Matrix Power Systems
38,Think & Learn
39,SIKCO Automotives Pvt ltd.
40,Diamond Mining Industry
41,Pramod Fibers Pvt ltd
