,name of company
0,Tech Mahindra
1,zensar Technologies
2,YARDI  Software
3,IRTM Robotics
4,flextronics
5,Mahindra & Mahindra
6,Savysoft
7,L&T    Infotech
8,ADM    Softech
9,TCS
10,Satyam Tech
11,Mahindra
12,Zensar Technologies
13,John deer
14,BOSCH
15,Perrenial sys
16,Faurecia
17,ADM Softech
18,Crimson
19,SGS Tech
20,HP
21,Future Tech.    Solution
22,Mphasis
23,EKI
24,Araymonds
25,OFOS
26,Amazon
27,Prolifics
28,capgemini
29,Grand View
30,Falkom Design
31,Voltas
32,U & D    Square
33,EKI 
34,volkswagen
35,Jai Hind
36,Areymond
37,Horizon telcom
38,General    Motors India Ltd.
39,L&T Infotech
40,Assist. Engineering MPSC
41,Devagiri Fourging
42,Persistent    Systems
43,CEMCON    concrete
44,INFOSYS
45,TAFE Ltd
46,Briforce    Technologies
47,Protego India
48,Finntaito Inc-    Finland
49,Bosch Chasis    System
50,HSBC
51,Quick heal
52,Rookie    Web
53,L&T
54,HSBC Softr
55,Flexitronics
56,Force Motors
57,Scemco Electrical
58,Indian Army
59,Syntel
60,Vodafone
61,K J Automotive
62,Tech Starr IT
63,Accenture
64,Force motors
65,3 D PLM
66,Redwise    Consultant
67,Mass    Tech
68,CMS Computers
69,Securens
70,ZF Steering
