,name of company
0,Accenture
1,Imagination Technology
2,Sungard
3,ADP
4,Infosys
5,Synechron
6,Aker Powergas Pvt Ltd
7,John Deere
8,Tata Technologies
9,Atlas Copco India Ltd
10,Kirloskar Group
11,Texas Instruments
12,Barclays
13,Mercdez Benz
14,Thermax
15,Bosch India Ltd
16,Morgan Stanley Advantage Services Pvt Ltd
17,Thoughtworks
18,Calsoft
19,Mu Sigma Business Solutions
20,Toyo Engineering India Ltd. 
21,Cognizant
22,Murugappa Group
23,Trident Group
24,Cybage Software
25,Nihilent Technologies
26,Uhde India Pvt Ltd
27,Deloitte
28,Nvidia
29,VVF India Ltd
30,Eaton Technologies Pvt Ltd
31,Oracle (OFSS)
32,Wavelet Technologies Pvt Ltd
33,Emerson
34,Persistent Systems Ltd
35,"Webtech Developers Pvt Ltd, Pune"
36,E Q Technologic
37,Sandvik Coromant
38,Whirlpool India Ltd
39,Forbes Marshall
40,Sanmar Group
41,Wipro
42,Godrej Infotech
43,Schneider Electric
44,Yardi Software India Pvt Ltd
45,Harbinger Group
46,SNS Technology
47,Zensar
48,Honeywell
49,Sudarshan Chemicals
50,Z S Associates
51,Accelya Kale Solution Ltd
52,Infostrech Solutions Pvt Ltd
53,S1 Services
54,Amura Marketing Technologies Pvt Ltd
55,Jindal Steel Works (Jsw)
56,Saint-Gobain
57,Ansys Fluent India Ltd
58,Johnson Controls
59,Siemens
60,Aquatech Asia
61,L & T Infotech
62,Sigma Software
63,Avaya India Pvt Ltd
64,Larsen & Toubro
65,Sulzer India Ltd.
66,Clarice Technologies
67,Logiquad Solutions
68,Symantec Software Ind Pvt Ltd
69,Continental Automotive
70,L'oreal
71,Tata Motors
72,Cummins India Ltd
73,Mahindra & Mahindra
74,Tavisca
75,Faurecia
76,Markets And Markets
77,TCS
78,Fiserv India Pvt Ltd
79,Microsoft
80,Te Connectivity India Pvt Ltd
81,GKN Sinter Metals Private Ltd
82,Mphasis
83,Teach For India
84,Gs Labs
85,NTT Communications ( Japan)
86,Tech Mahindra
87,Hindustan Unilever Ltd
88,Opus Software
89,Tibco Software India Pvt Ltd
90,IBM
91,Patni Computers
92,Uniken Systems
93,Icerties
94,Principle Global Services
95,Volkswagen India Pvt Ltd 
96,Inautix
97,Quick Heal
98,Webonise Lab
99,Indian Army
100,Quinnox 
